Date,pnl_gross
2022-01-25,3112.5253541379384
2022-01-26,0.0
2022-01-27,4480.908234970274
2022-01-28,-628.5829534615141
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,1360.914805885618
2022-02-01,-3365.3924580208013
2022-02-02,261.8697492605416
2022-02-03,-735.0699393742178
2022-02-04,678.3781735585715
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,-205.0514726167637
2022-02-08,3734.690461524503
2022-02-09,1631.581173881982
2022-02-10,1353.5251437761199
2022-02-11,2762.2762759935267
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,-3053.14480757281
2022-02-15,1501.5799693099516
2022-02-16,607.1435778002397
2022-02-17,2674.030316765346
2022-02-18,-1638.3855814901603
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,3609.5773619390607
2022-02-22,5634.775041561497
2022-02-23,512.110315816392
2022-02-24,-261.13794724812897
2022-02-25,-1652.852937607001
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,1321.8174582754164
2022-03-01,0.0
2022-03-02,5145.8707216333
2022-03-03,511.55263436480476
2022-03-04,-374.5667748232751
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,1989.7237590311895
2022-03-08,2632.172632274108
2022-03-09,1712.6853061599422
2022-03-10,109.55934211224422
2022-03-11,226.6875818048631
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,-2009.9923523578366
2022-03-15,4971.863712535367
2022-03-16,-2199.9610063579976
2022-03-17,6057.815533687379
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,-3417.4624940557205
2022-03-22,-2759.458579341354
2022-03-23,-722.7043424995871
2022-03-24,-4554.991360808389
2022-03-25,120.01049778368682
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,1790.7045602647222
2022-03-29,593.2661076724409
2022-03-30,-2005.574818008249
2022-03-31,1487.6224258407242
2022-04-01,3772.3013483463383
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,8548.868707660346
2022-04-05,2789.5649671145243
2022-04-06,4650.989834373153
2022-04-07,3587.051880015928
2022-04-08,680.8384385761235
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,1554.6372162169878
2022-04-12,2177.2704053387206
2022-04-13,786.8735162842122
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,-843.1469088625777
2022-04-19,-9763.421896367408
2022-04-20,-773.6791946522574
2022-04-21,748.8840380666664
2022-04-22,-464.11272633848597
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,323.6046003805892
2022-04-26,-3748.3426531854093
2022-04-27,-1707.312023377867
2022-04-28,414.1393574423023
2022-04-29,367.87911683022315
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,-1571.181954353211
2022-05-03,0.0
2022-05-04,4914.478655652314
2022-05-05,9708.110675498456
2022-05-06,-5192.233922671959
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,11100.342741768716
2022-05-10,1424.8566023001517
2022-05-11,-1990.4270834990355
2022-05-12,4145.918786263369
2022-05-13,1565.002673835072
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,-3977.434561164905
2022-05-17,-3867.396543680299
2022-05-18,-197.0919394789261
2022-05-19,-9821.76542160915
2022-05-20,-5787.053539619945
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,4140.282299356204
2022-05-24,-3376.991739915383
2022-05-25,-8119.531932817625
2022-05-26,2455.2356455144086
2022-05-27,3750.309314687248
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,4360.339517001344
2022-05-31,492.87471131791716
2022-06-01,-2209.8592075632055
2022-06-02,1293.3161643989815
2022-06-03,-610.2840257645674
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,339.0080321085964
2022-06-07,-5066.238154761564
2022-06-08,4610.69147299221
2022-06-09,-3800.7101413551127
2022-06-10,2371.9030765182674
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,-3105.631244996498
